# Permission keys extracted from the API registry

| Permission | Meaning | Endpoints using it |
| payroll.import | Import payroll adjustments from Excel | 1 |
| payroll.export | Bank file, statutory files, salary register and payslip export | 3 |
| certificates.view | View templates, requests, issued certificates and PDFs; preview templates | 10 |
| certificates.manage | Configure certificate templates | 5 |
| certificates.create | Raise and cancel certificate requests as staff | 2 |
| certificates.approve | Approve or reject certificate requests | 2 |
| certificates.issue | Issue (single, bulk, from request), reissue and send certificates | 5 |
| certificates.revoke | Revoke an issued certificate | 1 |
| certificates.export | Export the issue register | 1 |
| analytics.view | Open the report library, saved and shared reports, schedules list, KPI and analysis endpoints | 16 |
| analytics.build | Use the report builder: datasets, preview, save, update, delete, duplicate, share | 7 |
| analytics.schedule | Create, update, pause, resume, delete and run report schedules | 6 |
| analytics.export | Export standard and saved reports | 2 |
| analytics.manage | Rebuild daily metric snapshots | 1 |
| ai.view | View insights, risk scores and current quota; mark seen; give feedback | 9 |
| ai.update | Mark an insight acted or dismissed | 2 |
| ai.query | Ask the AI assistant and see own question history | 5 |
| ai.manage | Trigger insight and risk runs; see all questions and usage history | 3 |
| ai.export | Export the at-risk student list | 1 |
| settings.view | View settings, branding, number sequences, custom fields, gateway accounts, policy documents | 10 |
| settings.update | Update setting groups and branding; verify custom domain | 4 |
| settings.manage | Configure number sequences and custom fields | 6 |
| settings.manage_gateways | Connect, update, verify, default and disconnect payment gateway accounts | 5 |
| settings.manage_privacy | Policy documents, consent register, data-subject requests, breach register | 20 |
| settings.manage_api_keys | Create, update, rotate and revoke API keys | 5 |
| settings.export | Export the consent register | 1 |
| files.view | List files, read metadata, get download URLs, bulk download | 4 |
| files.create | Request a pre-signed upload and confirm it | 2 |
| files.delete | Delete (soft) a file | 1 |
| imports.view | View import templates, jobs, row errors and error files | 6 |
| imports.create | Start, detect columns, commit and cancel import jobs | 4 |
| audit.view | Search and read audit logs | 3 |
| audit.export | Export audit logs | 1 |
| audit.manage | Verify the audit hash chain | 1 |
